radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
301.508613,0.953,44.046893,0.992,4,13.625,-0,14.252,-0,13.861,0.012,13.514,0.054,13.389,0.063
301.508893,0.275,43.757546,0.965,2,15.893,0.122,16.756,0.03,NA,NA,NA,NA,NA,NA
301.509478,1.051,45.326713,0.616,4,15.583,0.244,16.939,0.164,16.149,0.034,15.204,0.165,15.011,-0
301.509641,0.454,44.829025,1.022,2,16.427,-0,17.372,-0.113,16.989,0.049,15.798,0.034,15.361,-0
301.509844,0.573,44.20885,0.279,4,13.768,0.041,14.359,0.03,14.019,0.028,13.598,0,13.447,0.006
301.509901,0.836,45.108337,0.476,3,15.07,0.034,15.955,0.033,15.443,0.03,14.897,0.017,14.638,0.034
301.510642,0.106,44.944797,0.407,2,NA,NA,NA,NA,NA,NA,NA,NA,14.983,0.075
301.510898,0.393,44.360954,0.461,3,15.695,0.031,16.507,0.014,16.014,0.011,15.398,0.014,15.134,-0
301.510966,0.582,43.872309,0.929,2,16.601,0.046,17.62,0.102,16.996,-0,16.244,-0,NA,NA
301.51121,1.023,44.885525,0.934,2,16.573,0.16,17.77,0.237,17.094,0.023,16.094,0.052,NA,NA
301.511531,0.586,43.834194,0.867,3,16.159,-0,17.422,-0,16.778,0.008,15.562,0.198,15.278,-0
301.511598,0.341,45.282671,0.216,4,11.804,0.048,12.274,0.037,11.967,0.026,11.775,0.061,11.741,0.038
301.512075,0.875,44.643605,0.7,2,15.268,0,16.104,0.14,15.674,-0,14.895,-0,NA,NA
301.512284,0.75,43.540262,0.292,4,14.232,0.048,14.988,0.045,14.55,0.05,14.054,0.051,13.866,0.042
301.51242,1.144,43.463561,0.548,3,NA,NA,NA,NA,15.32,-0,13.882,-0,13.207,0.064
301.512639,0.485,43.811,0.312,5,13.459,0.023,14.287,0.03,13.806,0.041,13.26,0.033,13.101,0.034
301.512938,0.501,44.699408,0.456,5,13.581,0.039,14.247,0.048,13.865,0.052,13.346,0.061,13.141,0.023
301.513037,1.15,44.733629,1.264,4,16.31,0.019,17.879,0.036,17.071,0.112,15.602,0.059,14.822,-0
301.513142,0.513,43.777326,0.398,5,13.393,0.01,13.941,0.029,13.598,0.042,13.284,0.014,13.206,0.051
301.513551,0.905,45.447591,0.637,3,NA,NA,NA,NA,16.852,0.113,15.514,0.114,14.86,0.07
301.513842,0.981,43.525014,0.58,3,15.606,0.017,16.578,0.059,16.037,0.039,15.484,0.177,15.153,-0
301.513855,0.822,44.932385,0.647,2,16.273,-0,17.93,-0.239,17.151,-0,15.663,-0,15.201,-0
301.513995,0.521,45.045325,0.703,4,12.125,0.061,13.198,0.183,12.604,0.12,11.854,0.09,11.515,0.109
301.514137,0.418,44.238565,0.45,5,12.876,0.044,13.352,0.029,13.043,0.051,12.744,0.044,12.665,0.015
301.514754,0.545,45.201405,0.743,4,14.966,-0,16.006,-0,15.42,0.094,14.615,0.068,14.327,-0
301.51482,0.993,44.585191,0.958,3,15.505,0.011,16.223,0.07,NA,NA,NA,NA,15.188,-0
301.515079,0.47,44.338923,0.596,4,15.375,0.038,16.24,0.073,15.735,0.051,15.1,0.024,14.814,-0
301.515547,0.532,43.824877,0.272,4,14.245,0.029,15.218,0.033,14.668,0.043,14.013,0.03,13.847,0.017
301.515749,0.421,43.840997,0.279,4,13.893,0.046,14.672,0.043,14.186,0.05,13.673,0.042,13.492,0.065
301.516223,0.639,45.2237,0.81,4,15.678,0.034,16.736,0.095,16.176,0.067,15.408,0.116,14.989,-0
301.516309,1.113,44.452931,0.549,2,16.525,-0,17.413,-0,16.733,-0.051,16.084,-0,15.223,-0
301.516651,0.736,44.867249,1.194,2,NA,NA,NA,NA,NA,NA,NA,NA,14.323,0.083
301.51668,0.472,43.568952,0.317,4,14.379,0.048,15.109,0.02,14.677,0.012,14.211,0.047,14.157,0.091
301.516692,0.859,44.47852,0.457,3,16.247,-0,17.284,-0.097,16.762,0.052,15.989,0.085,15.45,0.046
301.516951,0.645,44.784482,0.43,5,12.378,0.05,12.968,0.048,12.619,0.059,12.174,0.061,11.961,0.076
301.517048,0.468,44.960206,0.638,4,13.443,0.044,15.022,0.13,14.254,0.107,12.943,0.074,12.326,0.076
301.517289,0.725,43.907064,0.279,2,15.743,0.169,16.628,0.069,16.13,0.008,15.438,0.011,NA,NA
301.517774,0.68,45.069589,0.933,4,14.55,0.053,15.323,0.186,14.876,0.123,14.306,0.123,14.016,0.169
301.517818,0.654,45.15832,0.556,4,15.179,0.053,16.87,0.115,15.974,0.063,14.692,0.041,14.105,0.006
301.517935,0.614,43.791668,0.512,5,13.472,0.041,14.856,0.02,14.181,0.053,12.997,0.017,12.527,0.04
301.517951,0.559,45.140144,0.282,4,12.974,0.026,13.802,0.059,13.363,0.036,12.808,0.054,12.539,0.06
301.518629,0.737,43.992945,1.492,2,14.931,0.049,15.879,-0,15.328,0.025,14.691,0.205,14.4,-0
301.51881,0.68,44.28963,0.405,4,14.815,0.07,15.474,0.022,15.086,0.05,14.6,0.064,14.377,0.024
301.518975,0.697,45.361469,0.853,4,15.69,0.075,16.659,0.066,16.087,0.036,15.426,0.055,15.169,0.006
301.519032,0.581,44.759151,0.403,4,15.622,0.079,16.436,0.045,16.011,0.067,15.32,0.079,15.088,-0
301.519119,1.735,43.992598,1.036,2,NA,NA,15.794,-0,15.274,-0,14.833,-0,14.41,-0.05
301.519146,0.418,43.835104,0.967,2,15.639,-0,17.662,-0,NA,NA,NA,NA,14.266,-0.047
301.519683,0.684,44.008582,0.363,5,12.234,0.045,13.421,0.029,12.793,0.036,11.939,0.045,11.608,0.018
301.520019,0.496,43.700749,0.324,5,13.035,0.031,13.722,0.027,13.322,0.041,12.887,0.034,12.772,0.028
301.520191,0.677,44.033817,0.841,4,15.311,0.026,16.365,0.068,15.828,0.037,15.03,0.023,14.66,-0
301.52063,0.716,44.415153,0.483,4,15.292,0.055,17.181,0.07,16.211,0.094,14.621,0.029,13.763,0.044
301.520742,0.551,44.67616,0.347,5,12.079,0.046,12.74,0.042,12.353,0.053,11.854,0.052,11.607,0.065
301.520807,0.563,44.346939,0.416,4,14.16,0.033,14.97,0.039,14.529,0.042,13.884,0.012,13.452,0.169
301.520947,0.309,43.74371,0.372,5,12.043,0.05,13.492,0.031,12.737,0.043,11.647,0.02,11.23,0.01
301.521031,0.382,43.752374,0.678,4,15.27,0.021,15.997,0.022,15.556,0.031,15.074,0.054,15.054,0.124
301.521151,0.291,44.509564,0.574,4,15.062,0.05,15.676,0.05,15.287,0.054,14.853,0.08,14.669,0.059
301.521209,0.718,43.680349,0.508,4,15.721,0.032,16.604,0.023,16.117,0.077,15.433,0.024,15.319,0.111
301.521325,0.453,44.141172,0.452,4,14.156,0.032,14.692,0.033,14.347,0.038,14.001,0.031,13.935,0
301.521561,0.789,44.433948,0.309,4,14.836,0.051,17.23,0.085,16.036,0.095,13.865,0.062,12.609,0.084
301.521602,0.628,43.95836,0.313,3,NA,NA,NA,NA,16.516,0.07,14.501,0.041,12.618,0.102
301.52202,0.772,44.084643,0.714,4,16.068,0.011,16.883,0.026,16.394,0.094,15.669,0.02,NA,NA
301.523013,0.482,44.268094,0.911,2,15.693,0.055,16.535,0.126,16.031,0.108,15.332,0.024,15.133,-0
301.523023,0.739,43.850175,0.429,5,13.231,0.03,13.92,0.043,13.533,0.026,13.134,0.056,13.02,0.052
301.523155,0.366,43.670855,0.4,5,13.726,0.029,14.402,0.029,14.032,0.017,13.59,0,13.434,-0
301.523288,0.687,44.611217,0.716,2,16.391,0.202,17.057,0.161,NA,NA,NA,NA,NA,NA
301.523484,1.612,45.029358,1.04,2,16.455,-0,17.698,-0.235,16.971,-0,16.525,-0,NA,NA
301.523984,0.351,43.875498,0.738,4,15.123,0.044,15.957,0.052,15.457,0.064,14.85,0.037,14.814,0.088
301.5241,0.933,44.552316,0.746,2,NA,NA,NA,NA,17.187,0.134,16.216,0.083,15.545,-0
301.524571,0.594,45.191252,0.334,4,14.391,0.044,15.236,0.049,14.762,0.015,14.23,0.053,14.031,0.045
